# Value of energy0.111376
# number of periods40
# number of steps40
1.25833 -0.831201 -0.14205
1.26 -0.831222 -0.143406
1.26167 -0.83124 -0.144762
1.26333 -0.831254 -0.146117
1.265 -0.831264 -0.147472
1.26667 -0.831271 -0.148825
1.26833 -0.831273 -0.150178
1.27 -0.831272 -0.151531
1.27167 -0.831266 -0.152883
1.27333 -0.831257 -0.154234
1.275 -0.831244 -0.155584
1.27667 -0.831227 -0.156934
1.27833 -0.831207 -0.158283
1.28 -0.831182 -0.159631
1.28167 -0.831154 -0.160979
1.28333 -0.831122 -0.162326
1.285 -0.831086 -0.163672
1.28667 -0.831046 -0.165018
1.28833 -0.831002 -0.166362
1.29 -0.830955 -0.167707
1.29167 -0.830904 -0.16905
1.29333 -0.830849 -0.170392
1.295 -0.83079 -0.171734
1.29667 -0.830727 -0.173075
1.29833 -0.830661 -0.174416
1.3 -0.830591 -0.175755
1.30167 -0.830517 -0.177094
1.30333 -0.830439 -0.178432
1.305 -0.830357 -0.17977
1.30667 -0.830272 -0.181106
1.30833 -0.830183 -0.182442
1.31 -0.83009 -0.183777
1.31167 -0.829993 -0.185111
1.31333 -0.829893 -0.186444
1.315 -0.829789 -0.187777
1.31667 -0.829681 -0.189108
1.31833 -0.829569 -0.190439
1.32 -0.829454 -0.191769
1.32167 -0.829334 -0.193098
1.32333 -0.829211 -0.194427
1.325 -0.829085 -0.195754
1.32667 -0.828954 -0.197081
1.32833 -0.82882 -0.198407
1.33 -0.828682 -0.199732
1.33167 -0.82854 -0.201056
1.33333 -0.828395 -0.202379
1.335 -0.828246 -0.203701
1.33667 -0.828093 -0.205023
1.33833 -0.827936 -0.206343
1.34 -0.827776 -0.207663
1.34167 -0.827612 -0.208982
1.34333 -0.827444 -0.210299
1.345 -0.827273 -0.211616
1.34667 -0.827098 -0.212932
1.34833 -0.826919 -0.214248
1.35 -0.826736 -0.215562
1.35167 -0.82655 -0.216875
1.35333 -0.82636 -0.218187
1.355 -0.826166 -0.219499
1.35667 -0.825969 -0.220809
1.35833 -0.825768 -0.222119
1.36 -0.825563 -0.223427
1.36167 -0.825355 -0.224735
1.36333 -0.825143 -0.226041
1.365 -0.824927 -0.227347
1.36667 -0.824707 -0.228652
1.36833 -0.824484 -0.229955
1.37 -0.824257 -0.231258
1.37167 -0.824027 -0.23256
1.37333 -0.823793 -0.23386
1.375 -0.823555 -0.23516
1.37667 -0.823313 -0.236459
1.37833 -0.823068 -0.237756
1.38 -0.822819 -0.239053
1.38167 -0.822567 -0.240349
1.38333 -0.822311 -0.241643
1.385 -0.822051 -0.242937
1.38667 -0.821788 -0.244229
1.38833 -0.821521 -0.245521
1.39 -0.82125 -0.246811
1.39167 -0.820976 -0.248101
1.39333 -0.820698 -0.249389
1.395 -0.820416 -0.250676
1.39667 -0.820131 -0.251962
1.39833 -0.819842 -0.253247
1.4 -0.81955 -0.254531
1.40167 -0.819254 -0.255814
1.40333 -0.818954 -0.257096
1.405 -0.818651 -0.258376
1.40667 -0.818344 -0.259656
1.40833 -0.818033 -0.260935
1.41 -0.817719 -0.262212
1.41167 -0.817401 -0.263488
1.41333 -0.81708 -0.264763
1.415 -0.816755 -0.266037
1.41667 -0.816426 -0.26731
1.41833 -0.816094 -0.268582
1.42 -0.815758 -0.269852
1.42167 -0.815419 -0.271122
1.42333 -0.815076 -0.27239
1.425 -0.81473 -0.273657
1.42667 -0.814379 -0.274923
1.42833 -0.814026 -0.276187
1.43 -0.813668 -0.277451
1.43167 -0.813308 -0.278713
1.43333 -0.812943 -0.279974
1.435 -0.812575 -0.281234
1.43667 -0.812204 -0.282493
